Gene,org_score_in_DisGeNET,score_in_DisGeNET,org_score_in_GeneCards,score_in_GeneCards,org_score_in_CTD,score_in_CTD,avg_score
ACE,0.9,0.9,22.95,0.172129303,52.78,0.25622603,0.442785111
APP,0.9,0.9,127.14,0.953573839,205.99,1,0.95119128
HFE,0.7,0.7,37.19,0.278931973,15.19,0.073741444,0.350891139
TREM2,0.7,0.7,37.79,0.283432086,9.91,0.048109132,0.343847073
PSEN1,0.7,0.7,133.33,1,40.3,0.195640565,0.631880188
GSK3B,0.7,0.7,31.85,0.238880972,83.29,0.404340017,0.44774033
MAPT,0.7,0.7,77.48,0.581114528,45.4,0.220399048,0.500504525
ADAM10,0.7,0.7,48.38,0.362859071,9.49,0.046070198,0.36964309
APOE,0.7,0.7,96.56,0.724218105,87.61,0.425311908,0.616510004
PLAU,0.68,0.68,36.25,0.271881797,47.32,0.229719889,0.393867229
BDNF,0.6,0.6,24.01,0.180079502,85.35,0.414340502,0.398140001
BCL2,0.6,0.6,3.09,0.023175579,102.69,0.498519346,0.373898308
IL1B,0.6,0.6,21.28,0.15960399,106.65,0.51774358,0.425782523
NPY,0.6,0.6,15.95,0.119627991,39.52,0.191853973,0.303827321
BACE1,0.6,0.6,38.6,0.289507238,70.76,0.343511821,0.411006353
INSR,0.6,0.6,17.51,0.131328283,33.79,0.164037089,0.298455124
CASP3,0.6,0.6,22.02,0.165154129,119.31,0.579202874,0.448119001
IDE,0.6,0.6,27.14,0.203555089,29.14,0.141463178,0.315006089
LEP,0.6,0.6,4.74,0.035550889,60.31,0.292781203,0.309444031
IGF2,0.57,0.57,1.85,0.013875347,26.61,0.129181028,0.237685458
IGF1R,0.56,0.56,4.42,0.033150829,48.27,0.234331764,0.275827531
ATP5F1A,0.54,0.54,15.02,0.112652816,31.31,0.15199767,0.268216829
INS,0.53,0.53,18.1,0.135753394,56.85,0.275984271,0.313912555
BAX,0.52,0.52,4.2,0.031500788,90.38,0.438759163,0.33008665
SORL1,0.5,0.5,50.92,0.381909548,22.16,0.107578038,0.329829195
EPHA1,0.5,0.5,2.47,0.018525463,12.3,0.059711636,0.1927457
ABCA7,0.5,0.5,57.14,0.428560714,11.28,0.05475994,0.327773551
MPO,0.5,0.5,32.42,0.243156079,66.96,0.325064324,0.356073468
BIN1,0.5,0.5,20.04,0.150303758,12.92,0.062721491,0.237675083
PICALM,0.5,0.5,23.44,0.175804395,19.59,0.095101704,0.2569687
A2M,0.5,0.5,45.87,0.344033601,22.21,0.107820768,0.31728479
APOC1,0.5,0.5,17.26,0.129453236,20.49,0.099470848,0.242974695
TOMM40,0.5,0.5,32.43,0.243231081,20.06,0.097383368,0.280204816
PSEN2,0.5,0.5,103.38,0.775369384,15.97,0.077528035,0.450965806
CR1,0.5,0.5,21.51,0.161329033,5.75,0.027913976,0.22974767
CD2AP,0.5,0.5,2.75,0.020625516,7.57,0.036749357,0.185791624
CLU,0.5,0.5,30.42,0.228155704,47.58,0.230982087,0.319712597
NOS3,0.5,0.5,38.8,0.291007275,79.82,0.387494539,0.392833938
VSNL1,0.49,0.49,17.9,0.134253356,21.93,0.106461479,0.243571612
INPP5D,0.45,0.45,1.96,0.014700368,8.59,0.041701053,0.168800474
NECTIN2,0.44,0.44,3.15,0.023625591,11.69,0.056750328,0.17345864
MS4A4A,0.43,0.43,8.27,0.062026551,5.92,0.028739259,0.173588603
PCDH11X,0.42,0.42,18.54,0.139053476,5.48,0.026603233,0.195218903
CASS4,0.42,0.42,1.88,0.014100353,9.08,0.04407981,0.159393388
DHCR24,0.4,0.4,18.88,0.14160354,25.62,0.12437497,0.221992837
CYP46A1,0.4,0.4,17.51,0.131328283,7.36,0.03572989,0.189019391
IGF1,0.4,0.4,6.48,0.048601215,75.13,0.364726443,0.271109219
MIR146A,0.4,0.4,26.88,0.20160504,29.79,0.144618671,0.248741237
ESR1,0.4,0.4,7.23,0.054226356,51.49,0.24996359,0.234729982
RELN,0.4,0.4,16.76,0.125703143,24.8,0.120394194,0.215365779
TNF,0.4,0.4,24.3,0.182254556,115.22,0.559347541,0.380534032
NCSTN,0.4,0.4,23.51,0.176329408,19.31,0.093742415,0.223357274
PRNP,0.4,0.4,37.8,0.283507088,31.69,0.15384242,0.279116503
BCHE,0.4,0.4,28.61,0.214580365,53.26,0.258556241,0.291045535
DPYSL2,0.4,0.4,18.99,0.142428561,13.58,0.06592553,0.202784697
ACHE,0.4,0.4,29.86,0.223955599,85.74,0.416233798,0.346729799
TFAM,0.4,0.4,9.16,0.068701718,40.04,0.194378368,0.221026695
MTHFR,0.4,0.4,15.19,0.113927848,16.61,0.080634982,0.19818761
CST3,0.4,0.4,17.92,0.13440336,31.35,0.152191854,0.228865071
HMOX1,0.4,0.4,16.36,0.122703068,81.38,0.395067722,0.305923597
PPARG,0.4,0.4,16.98,0.127353184,81.53,0.395795912,0.307716365
CYP2D6,0.4,0.4,17.93,0.134478362,25.31,0.122870042,0.219116135
IL6,0.4,0.4,20.13,0.150978774,93.81,0.455410457,0.335463077
MAOB,0.4,0.4,18.32,0.137403435,32.75,0.1589883,0.232130578
CHRNA7,0.4,0.4,18.62,0.139653491,17.77,0.086266324,0.208639938
CD33,0.4,0.4,4.6,0.034500863,13.17,0.063935142,0.166145335
VEGFA,0.4,0.4,5.39,0.040426011,86.76,0.421185494,0.287203835
CRH,0.39,0.39,17.47,0.131028276,42.3,0.205349774,0.242126017
SOD2,0.38,0.38,16.17,0.121278032,97.53,0.473469586,0.324915873
PLCG2,0.36,0.36,1.86,0.013950349,17.83,0.0865576,0.15350265
