ID,Description,BgRatio,pvalue,padjust,qvalue,geneID,gene_name,rankScore,Count
hsa04933,AGE-RAGE signaling pathway in diabetic complications,100/8081,6.17E-20,1.27E-17,4.42E-18,3569/207/6774/6347/7422/3576/3553/5594/3383/7412/836/4846/5054/4313/596,"IL6,AKT1,STAT3,CCL2,VEGFA,CXCL8,IL1B,MAPK1,ICAM1,VCAM1,CASP3,NOS3,SERPINE1,MMP2,BCL2",2.286309018,15
hsa05144,Malaria,50/8081,9.73E-15,1.00E-12,3.48E-13,3569/6347/3576/3553/3586/3383/7412/3458/959/948,"IL6,CCL2,CXCL8,IL1B,IL10,ICAM1,VCAM1,IFNG,CD40LG,CD36",1.01172922,10
hsa05418,Fluid shear stress and atherosclerosis,139/8081,1.64E-14,1.12E-12,3.91E-13,207/6347/7422/7157/3553/4318/3383/7412/4846/3458/3162/4313/596,"AKT1,CCL2,VEGFA,TP53,IL1B,MMP9,ICAM1,VCAM1,NOS3,IFNG,HMOX1,MMP2,BCL2",1.350219046,13
hsa04066,HIF-1 signaling pathway,109/8081,2.73E-14,1.41E-12,4.89E-13,3569/3630/207/6774/7422/5594/4846/5054/3458/3162/4843/596,"IL6,INS,AKT1,STAT3,VEGFA,MAPK1,NOS3,SERPINE1,IFNG,HMOX1,NOS2,BCL2",1.264104675,12
hsa04657,IL-17 signaling pathway,94/8081,1.93E-13,7.96E-12,2.77E-12,3569/6347/3576/3553/4318/5743/5594/836/3458/4312/4314,"IL6,CCL2,CXCL8,IL1B,MMP9,PTGS2,MAPK1,CASP3,IFNG,MMP1,MMP3",1.104695852,11
hsa04668,TNF signaling pathway,112/8081,1.39E-12,4.78E-11,1.66E-11,3569/207/6347/3553/4318/5743/5594/3383/7412/836/4314,"IL6,AKT1,CCL2,IL1B,MMP9,PTGS2,MAPK1,ICAM1,VCAM1,CASP3,MMP3",1.062905178,11
hsa05142,Chagas disease,102/8081,1.72E-11,5.06E-10,1.76E-10,3569/207/6347/3576/3553/3586/5594/5054/3458/4843,"IL6,AKT1,CCL2,CXCL8,IL1B,IL10,MAPK1,SERPINE1,IFNG,NOS2",0.866805709,10
hsa05323,Rheumatoid arthritis,93/8081,2.28E-10,5.87E-09,2.04E-09,3569/6347/7422/3576/3553/3383/3458/4312/4314,"IL6,CCL2,VEGFA,CXCL8,IL1B,ICAM1,IFNG,MMP1,MMP3",0.673705825,9
hsa05219,Bladder cancer,41/8081,4.65E-10,1.06E-08,3.70E-09,7422/7157/3576/4318/5594/4313/4312,"VEGFA,TP53,CXCL8,MMP9,MAPK1,MMP2,MMP1",0.500542901,7
hsa05145,Toxoplasmosis,112/8081,1.23E-09,2.53E-08,8.78E-09,207/6774/3586/5594/836/3458/4843/959/596,"AKT1,STAT3,IL10,MAPK1,CASP3,IFNG,NOS2,CD40LG,BCL2",0.546399133,9
hsa05163,Human cytomegalovirus infection,225/8081,2.76E-09,5.17E-08,1.80E-08,3569/207/6774/6347/7422/7157/3576/3553/5743/5594/836,"IL6,AKT1,STAT3,CCL2,VEGFA,TP53,CXCL8,IL1B,PTGS2,MAPK1,CASP3",0.794326999,11
hsa05167,Kaposi sarcoma-associated herpesvirus infection,193/8081,9.51E-09,1.63E-07,5.67E-08,3569/207/6774/7422/7157/3576/5743/5594/3383/836,"IL6,AKT1,STAT3,VEGFA,TP53,CXCL8,PTGS2,MAPK1,ICAM1,CASP3",0.667432298,10
hsa05143,African trypanosomiasis,37/8081,1.26E-08,2.00E-07,6.96E-08,3569/3553/3586/3383/7412/3458,"IL6,IL1B,IL10,ICAM1,VCAM1,IFNG",0.378225454,6
hsa05161,Hepatitis B,162/8081,3.22E-08,4.74E-07,1.65E-07,3569/207/6774/7157/3576/4318/5594/836/596,"IL6,AKT1,STAT3,TP53,CXCL8,MMP9,MAPK1,CASP3,BCL2",0.522803186,9
hsa05133,Pertussis,76/8081,4.04E-08,5.54E-07,1.93E-07,3569/3576/3553/3586/5594/836/4843,"IL6,CXCL8,IL1B,IL10,MAPK1,CASP3,NOS2",0.40548573,7
hsa05164,Influenza A,171/8081,5.15E-08,6.64E-07,2.31E-07,3569/207/6347/3576/3553/5594/3383/836/3458,"IL6,AKT1,CCL2,CXCL8,IL1B,MAPK1,ICAM1,CASP3,IFNG",0.536302754,9
hsa05152,Tuberculosis,180/8081,8.03E-08,9.74E-07,3.38E-07,3569/207/3553/3586/5594/836/3458/4843/596,"IL6,AKT1,IL1B,IL10,MAPK1,CASP3,IFNG,NOS2,BCL2",0.463481894,9
hsa04926,Relaxin signaling pathway,129/8081,8.88E-08,1.02E-06,3.53E-07,207/7422/4318/5594/4846/4313/4312/4843,"AKT1,VEGFA,MMP9,MAPK1,NOS3,MMP2,MMP1,NOS2",0.416302705,8
hsa05215,Prostate cancer,97/8081,2.21E-07,2.40E-06,8.34E-07,3630/207/7157/4318/5594/4314/596,"INS,AKT1,TP53,MMP9,MAPK1,MMP3,BCL2",0.339457378,7
hsa05146,Amoebiasis,102/8081,3.13E-07,3.22E-06,1.12E-06,3569/3576/3553/3586/836/3458/4843,"IL6,CXCL8,IL1B,IL10,CASP3,IFNG,NOS2",0.351576779,7
hsa04064,NF-kappa B signaling pathway,104/8081,3.58E-07,3.51E-06,1.22E-06,3576/3553/5743/3383/7412/959/596,"CXCL8,IL1B,PTGS2,ICAM1,VCAM1,CD40LG,BCL2",0.301083685,7
hsa05171,Coronavirus disease - COVID-19,232/8081,7.00E-07,6.56E-06,2.28E-06,3569/6774/6347/3576/3553/5594/4312/4314/2147,"IL6,STAT3,CCL2,CXCL8,IL1B,MAPK1,MMP1,MMP3,F2",0.415204232,9
hsa05206,MicroRNAs in cancer,310/8081,8.27E-07,7.41E-06,2.57E-06,6774/7422/7157/4318/5743/5594/836/3162/5243/596,"STAT3,VEGFA,TP53,MMP9,PTGS2,MAPK1,CASP3,HMOX1,ABCB1,BCL2",0.417124383,10
hsa05140,Leishmaniasis,77/8081,1.13E-06,9.69E-06,3.37E-06,3553/5743/3586/5594/3458/4843,"IL1B,PTGS2,IL10,MAPK1,IFNG,NOS2",0.261017266,6
hsa01521,EGFR tyrosine kinase inhibitor resistance,79/8081,1.32E-06,1.08E-05,3.77E-06,3569/207/6774/7422/5594/596,"IL6,AKT1,STAT3,VEGFA,MAPK1,BCL2",0.272488915,6
hsa04068,FoxO signaling pathway,131/8081,1.72E-06,1.36E-05,4.74E-06,3569/3630/207/6774/3586/5594/847,"IL6,INS,AKT1,STAT3,IL10,MAPK1,CAT",0.344882345,7
hsa05135,Yersinia infection,137/8081,2.32E-06,1.77E-05,6.16E-06,3569/207/6347/3576/3553/3586/5594,"IL6,AKT1,CCL2,CXCL8,IL1B,IL10,MAPK1",0.332582375,7
hsa05162,Measles,139/8081,2.56E-06,1.88E-05,6.55E-06,3569/207/6774/7157/3553/836/596,"IL6,AKT1,STAT3,TP53,IL1B,CASP3,BCL2",0.303207064,7
hsa05205,Proteoglycans in cancer,205/8081,3.07E-06,2.18E-05,7.57E-06,207/6774/7422/7157/4318/5594/836/4313,"AKT1,STAT3,VEGFA,TP53,MMP9,MAPK1,CASP3,MMP2",0.353987984,8
