num,Database,herb,MOLID,PubChem_CID,Biological_Test_Results,BBB_OB,SMILES,genes_from_tcmsp,genes_from_pubchem,genes_from_sea,genes_total,Ingredient_Name
1420,TCMSP,baishao,MOL000358,222284,Exist,,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,"SLC6A4,PTGS2,JUN,CASP9,ADRB2,CASP3,MAP2,CHRM2,GABRA1,BCL2,CASP8,KCNH2,CHRM1,OPRM1,PTGS1,PGR,CHRM4,PRKCA,ADRA1A,PON1,CHRNA2,CHRM3,SCN5A,ADRA1B,NCOA2,BAX","GSK3B,DPP4,POLB,PRKAG2,PRKAA1,PRKAB2,PRKAB1,PRKAA2,PRKAG1,F2,PRKAG3","NR1H3,RORC,NR1H2,ESR2,SHBG,AR,SREBF2,NPC1L1,ESR1,CYP17A1","SLC6A4,GSK3B,PTGS2,JUN,CASP9,ADRB2,CASP3,MAP2,F2,PRKAA1,PRKAG3,ESR1,DPP4,CHRM2,RORC,GABRA1,POLB,BCL2,CASP8,SHBG,KCNH2,AR,SREBF2,PRKAA2,CHRM1,PRKAG1,CYP17A1,OPRM1,PTGS1,PGR,CHRM4,PRKAG2,PRKCA,ADRA1A,PRKAB2,PON1,CHRNA2,NR1H3,CHRM3,SCN5A,ADRA1B,NR1H2,ESR2,NCOA2,BAX,PRKAB1,NPC1L1",beta-sitosterol
1438,TCMSP,danggui,MOL000358,222284,Exist,,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,"SLC6A4,PTGS2,JUN,CASP9,ADRB2,CASP3,MAP2,CHRM2,GABRA1,BCL2,CASP8,KCNH2,CHRM1,OPRM1,PTGS1,PGR,CHRM4,PRKCA,ADRA1A,PON1,CHRNA2,CHRM3,SCN5A,ADRA1B,NCOA2,BAX","GSK3B,DPP4,POLB,PRKAG2,PRKAA1,PRKAB2,PRKAB1,PRKAA2,PRKAG1,F2,PRKAG3","NR1H3,RORC,NR1H2,ESR2,SHBG,AR,SREBF2,NPC1L1,ESR1,CYP17A1","SLC6A4,GSK3B,PTGS2,JUN,CASP9,ADRB2,CASP3,MAP2,F2,PRKAA1,PRKAG3,ESR1,DPP4,CHRM2,RORC,GABRA1,POLB,BCL2,CASP8,SHBG,KCNH2,AR,SREBF2,PRKAA2,CHRM1,PRKAG1,CYP17A1,OPRM1,PTGS1,PGR,CHRM4,PRKAG2,PRKCA,ADRA1A,PRKAB2,PON1,CHRNA2,NR1H3,CHRM3,SCN5A,ADRA1B,NR1H2,ESR2,NCOA2,BAX,PRKAB1,NPC1L1",beta-sitosterol
1515,TCMSP,shengjiang,MOL000358,222284,Exist,,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,"SLC6A4,PTGS2,JUN,CASP9,ADRB2,CASP3,MAP2,CHRM2,GABRA1,BCL2,CASP8,KCNH2,CHRM1,OPRM1,PTGS1,PGR,CHRM4,PRKCA,ADRA1A,PON1,CHRNA2,CHRM3,SCN5A,ADRA1B,NCOA2,BAX","GSK3B,DPP4,POLB,PRKAG2,PRKAA1,PRKAB2,PRKAB1,PRKAA2,PRKAG1,F2,PRKAG3","NR1H3,RORC,NR1H2,ESR2,SHBG,AR,SREBF2,NPC1L1,ESR1,CYP17A1","SLC6A4,GSK3B,PTGS2,JUN,CASP9,ADRB2,CASP3,MAP2,F2,PRKAA1,PRKAG3,ESR1,DPP4,CHRM2,RORC,GABRA1,POLB,BCL2,CASP8,SHBG,KCNH2,AR,SREBF2,PRKAA2,CHRM1,PRKAG1,CYP17A1,OPRM1,PTGS1,PGR,CHRM4,PRKAG2,PRKCA,ADRA1A,PRKAB2,PON1,CHRNA2,NR1H3,CHRM3,SCN5A,ADRA1B,NR1H2,ESR2,NCOA2,BAX,PRKAB1,NPC1L1",beta-sitosterol
1451,TCMSP,gancao,MOL002565,336327,Exist,,COC1=CC2=C(C=C1)C3COC4=C(C3O2)C=CC(=C4)O,"SLC6A4,PTGS2,ADRB2,ADRA1D,ESR1,OPRD1,CHRM2,CHRM1,OPRM1,PTGS1,CHRM4,PRSS1,ADRA1A,CHRM5,CHRM3,SCN5A,ADRA1B,RXRA,SLC6A3,ESR2,CCNA2,MAPK10",,,"SLC6A4,OPRM1,PTGS1,PTGS2,CHRM4,PRSS1,ADRB2,ADRA1A,MAPK10,ADRA1D,CHRM5,ESR1,OPRD1,CHRM2,CHRM3,SCN5A,ADRA1B,RXRA,SLC6A3,ESR2,CCNA2,CHRM1",Medicarpin
1447,TCMSP,gancao,MOL001792,NO,,,,"SLC6A4,PTGS1,PTGS2,RXRA,ADRB2,MAOB,ESR1",,,"SLC6A4,PTGS1,PTGS2,RXRA,ADRB2,MAOB,ESR1",DFV
1490,TCMSP,gancao,MOL004941,NO,,,,"SLC6A4,PTGS1,PTGS2,GABRA1,RXRA,ADRB2,MAOB,ESR1",,,"SLC6A4,PTGS1,PTGS2,GABRA1,RXRA,ADRB2,MAOB,ESR1",(2R)-7-hydroxy-2-(4-hydroxyphenyl)chroman-4-one
1455,TCMSP,gancao,MOL000392,5280378,Exist,,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,"SLC6A4,GSK3B,PTGS2,JUN,ADRB2,MAOB,ESR1,AR,CHEK1,CHRM1,ND6,PTGS1,HSD3B1,PRSS1,ACHE,ADRA1A,HSD3B2,PPARG,SLC6A3,RXRA,IL4,ESR2,CCNA2,MAPK14","NR5A1,RARA,PGR,HDAC9,NR1I3,MAPT,SMN2,NFE2L2,ATAD5,NR1I2,GLI3,ESR1,YAP1,ESRRA,IL2,ESR2,AR,AHR,NR0B1,CYP1A2,CYP1B1","CA7,ALDH2,CA4,KLK7,HSD17B2,IL2,CYP19A1,CBR1,ESR2,MIF,ABCB1,ALOX12,CYP1B1,ESR1,CA12","ALDH2,SLC6A4,GSK3B,RARA,HDAC9,PTGS2,JUN,ADRB2,MIF,ABCB1,MAPT,MAOB,GLI3,ESR1,CA7,CA4,CYP19A1,AR,CYP1A2,NR0B1,CHEK1,CHRM1,CYP1B1,ND6,PTGS1,PGR,NR1I3,HSD17B2,HSD3B1,PRSS1,ACHE,CBR1,ADRA1A,SMN2,NFE2L2,ATAD5,NR1I2,ALOX12,CA12,YAP1,KLK7,ESRRA,IL2,HSD3B2,PPARG,SLC6A3,RXRA,IL4,ESR2,CCNA2,AHR,MAPK14,NR5A1",formononetin
1467,TCMSP,gancao,MOL004835,5317768,,,COC1=CC=C(C=C1)C(=O)C=CC2=C(C=C(C=C2)O)OC,"SLC6A4,GSK3B,PTGS2,ADRB2,MAOB,NCOA1,ESR1,AR,CHEK1,CHRM1,PTGS1,carbonic,LTA4H,SCN5A,ADRA1B,SLC6A3,ESR2,CCNA2,MAPK14",,"PTPN1,CHRNA7,ABCG2,MAOB,F3","SLC6A4,GSK3B,F3,CHRNA7,PTGS1,PTGS2,ADRB2,MAOB,NCOA1,ESR1,carbonic,LTA4H,PTPN1,SCN5A,ADRA1B,SLC6A3,ESR2,CCNA2,ABCG2,AR,MAPK14,CHEK1,CHRM1",Glypallichalcone
1505,TCMSP,gancao,MOL000500,92503,Exist,,COC1=CC(=C(C=C1)C2CC3=C(C=C(C=C3)O)OC2)O,"SLC6A4,GSK3B,PTGS2,ADRB2,ESR1,AR,CHEK1,CHRM1,PTGS1,CHRM4,PRSS1,ADRA1A,SCN5A,ADRA1B,SLC6A3,RXRA,ESR2,CCNA2,MAPK14",,,"SLC6A4,GSK3B,PTGS1,PTGS2,CHRM4,PRSS1,ADRB2,ADRA1A,ESR1,SCN5A,ADRA1B,SLC6A3,RXRA,ESR2,CCNA2,AR,MAPK14,CHEK1,CHRM1",Vestitol
1454,TCMSP,gancao,MOL003896,NO,,,,"SLC6A4,GSK3B,PTGS2,ADRB2,ADRA1D,MAOB,NCOA1,ESR1,GABRA1,AR,CHRM1,CHEK1,OPRM1,PTGS1,PRSS1,ACHE,CHRM5,ADRB1,LTA4H,CHRM3,SCN5A,ADRA1B,RXRA,SLC6A3,ESR2,CCNA2,NCOA2,MAPK14",,,"SLC6A4,GSK3B,OPRM1,PTGS1,PTGS2,PRSS1,ACHE,ADRB2,CHRM1,ADRA1D,MAOB,CHRM5,NCOA1,ESR1,ADRB1,LTA4H,CHRM3,SCN5A,GABRA1,ADRA1B,RXRA,SLC6A3,ESR2,CCNA2,AR,NCOA2,MAPK14,CHEK1",7-Methoxy-2-methyl isoflavone
