Category,ID,Description,BgRatio,pvalue,padjust,qvalue,geneID,gene_name,rankScore,Gene Count
BP,GO:0010288,response to lead ion,24/18493,3.93E-09,3.45E-06,1.24E-06,351/4137/23621/5743,"APP,MAPT,BACE1,PTGS2",0.215394591,4
BP,GO:0070997,neuron death,335/18493,5.98E-09,3.45E-06,1.24E-06,351/4137/836/2932/23621/596/581,"APP,MAPT,CASP3,GSK3B,BACE1,BCL2,BAX",0.331272348,7
BP,GO:1901216,positive regulation of neuron death,81/18493,5.98E-09,3.45E-06,1.24E-06,4137/836/2932/23621/581,"MAPT,CASP3,GSK3B,BACE1,BAX",0.243780951,5
BP,GO:0050435,amyloid-beta metabolic process,37/18493,2.43E-08,1.05E-05,3.76E-06,351/1636/23621/102,"APP,ACE,BACE1,ADAM10",0.171712976,4
BP,GO:0006979,response to oxidative stress,441/18493,3.97E-08,1.37E-05,4.93E-06,351/4137/836/4846/596/4353/5743,"APP,MAPT,CASP3,NOS3,BCL2,MPO,PTGS2",0.322663842,7
BP,GO:0072593,reactive oxygen species metabolic process,276/18493,7.39E-08,2.13E-05,7.64E-06,4137/4846/596/4353/4843/5743,"MAPT,NOS3,BCL2,MPO,NOS2,PTGS2",0.216971943,6
BP,GO:1901214,regulation of neuron death,296/18493,1.12E-07,2.76E-05,9.91E-06,4137/836/2932/23621/596/581,"MAPT,CASP3,GSK3B,BACE1,BCL2,BAX",0.22284389,6
BP,GO:0001505,regulation of neurotransmitter levels,346/18493,2.81E-07,4.04E-05,1.45E-05,2932/23621/4846/43/4843/5743,"GSK3B,BACE1,NOS3,ACHE,NOS2,PTGS2",0.22206761,6
BP,GO:0070482,response to oxygen levels,349/18493,2.95E-07,4.04E-05,1.45E-05,836/5328/596/4843/5743/5468,"CASP3,PLAU,BCL2,NOS2,PTGS2,PPARG",0.213846767,6
BP,GO:0008217,regulation of blood pressure,177/18493,3.04E-07,4.04E-05,1.45E-05,1636/4846/4843/5743/5468,"ACE,NOS3,NOS2,PTGS2,PPARG",0.1873786,5
BP,GO:0045862,positive regulation of proteolysis,352/18493,3.11E-07,4.04E-05,1.45E-05,351/4137/836/2932/581/5468,"APP,MAPT,CASP3,GSK3B,BAX,PPARG",0.246052169,6
BP,GO:0006801,superoxide metabolic process,69/18493,3.12E-07,4.04E-05,1.45E-05,4137/4846/4353/4843,"MAPT,NOS3,MPO,NOS2",0.135638706,4
BP,GO:0010038,response to metal ion,358/18493,3.43E-07,4.04E-05,1.45E-05,351/4137/836/23621/596/5743,"APP,MAPT,CASP3,BACE1,BCL2,PTGS2",0.257082252,6
BP,GO:0038034,signal transduction in absence of ligand,71/18493,3.51E-07,4.04E-05,1.45E-05,836/2932/596/581,"CASP3,GSK3B,BCL2,BAX",0.142930416,4
BP,GO:0097192,extrinsic apoptotic signaling pathway in absence of ligand,71/18493,3.51E-07,4.04E-05,1.45E-05,836/2932/596/581,"CASP3,GSK3B,BCL2,BAX",0.142930416,4
BP,GO:0051098,regulation of binding,369/18493,4.10E-07,4.29E-05,1.54E-05,351/2932/1636/596/581/5468,"APP,GSK3B,ACE,BCL2,BAX,PPARG",0.197570049,6
BP,GO:0010952,positive regulation of peptidase activity,189/18493,4.22E-07,4.29E-05,1.54E-05,351/4137/836/581/5468,"APP,MAPT,CASP3,BAX,PPARG",0.208973422,5
BP,GO:0010042,response to manganese ion,20/18493,6.00E-07,5.73E-05,2.06E-05,351/23621/5743,"APP,BACE1,PTGS2",0.133134988,3
BP,GO:0009266,response to temperature stimulus,208/18493,6.77E-07,5.73E-05,2.06E-05,4137/2932/4846/5743/5468,"MAPT,GSK3B,NOS3,PTGS2,PPARG",0.188056257,5
BP,GO:0043281,regulation of cysteine-type endopeptidase activity involved in apoptotic process,209/18493,6.94E-07,5.73E-05,2.06E-05,4137/836/581/5743/5468,"MAPT,CASP3,BAX,PTGS2,PPARG",0.201052237,5
BP,GO:0032469,endoplasmic reticulum calcium ion homeostasis,22/18493,8.10E-07,5.73E-05,2.06E-05,351/596/581,"APP,BCL2,BAX",0.090380392,3
BP,GO:0006919,activation of cysteine-type endopeptidase activity involved in apoptotic process,88/18493,8.34E-07,5.73E-05,2.06E-05,4137/836/581/5468,"MAPT,CASP3,BAX,PPARG",0.153045437,4
BP,GO:0043393,regulation of protein binding,217/18493,8.35E-07,5.73E-05,2.06E-05,351/2932/1636/596/581,"APP,GSK3B,ACE,BCL2,BAX",0.158260395,5
BP,GO:0052548,regulation of endopeptidase activity,417/18493,8.39E-07,5.73E-05,2.06E-05,351/4137/836/581/5743/5468,"APP,MAPT,CASP3,BAX,PTGS2,PPARG",0.250939379,6
BP,GO:0050804,modulation of chemical synaptic transmission,418/18493,8.50E-07,5.73E-05,2.06E-05,351/4137/2932/23621/43/5743,"APP,MAPT,GSK3B,BACE1,ACHE,PTGS2",0.232372409,6
BP,GO:0099177,regulation of trans-synaptic signaling,419/18493,8.62E-07,5.73E-05,2.06E-05,351/4137/2932/23621/43/5743,"APP,MAPT,GSK3B,BACE1,ACHE,PTGS2",0.232372409,6
BP,GO:0048608,reproductive structure development,428/18493,9.76E-07,5.82E-05,2.09E-05,836/4846/596/581/5743/5468,"CASP3,NOS3,BCL2,BAX,PTGS2,PPARG",0.222354854,6
