num,Database,herb,Ingredient_Name,MOLID,PubChem_CID,Biological_Test_Results,BBB_OB,SMILES,genes_from_tcmsp,genes_from_pubchem,genes_from_sea,genes_total,CHEMBL
2,TCMSP,danshen,luteolin,MOL000006,5280445,Exist,,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,"MMP9,AR,PPARG,CD40LG,PTGS1,TNFA,TYR,RB1,GSTP1,PRSS1,MET,RELA,BIRC5,VEGFA,CCNB1,NFKBIA,EGFR,PTGES,PTGS2,BCL2L1,MMP2,ADCY2,AKT1,TOP1,MDM2,CDKN1A,IL2,CASP7,CASP3,MCL1,MAPK1,INSR,PCNA,IL4,HMOX1,ERBB2,NCOA2,APP,MMP1,ICAM1,NUF2,IL6,IL10,CASP9,TOP2A,IFNG,TP53,JUN,CCND1","MMP13,AR,PARP1,CDK1,CYBB,GPR35,SMN2,DRD3,GAA,POLK,GSTO1,STK16,PSIP1,ELANE,ALOX15,TNFRSF10B,CDK5R1,RELA,WRN,RAPGEF3,MAOA,PIP4K2A,AKR1B10,TTR,GSK3A,GLO1,ABCB1,CD38,AMY1C,CSNK2A2,POLH,CSNK1G2,AKR1B1,TNKS,CA4,CFTR,APP,ALDH1A1,XDH,NR3C1,BLM,MMP12,CYP3A4,FEN1,POLI,SYK,PBRM1,FXN,FLT3,MMP3,NOX4,TNKS2,CDK5,PIM2,CCNB2,CSNK2B,MMP9,PAFAH1B3,CLK3,CDK2,PAFAH1B2,TYR,IFNB1,CYP1A1,ALOX5,CCNB1,HPGD,CA2,BAZ2B,GSK3B,MMP2,POLB,AMY1A,ALPI,TRA,DAPK1,CBR3,CCNB3,CA12,MCL1,CLK1,DPP4,ABCG2,AMY1B,MAPT,HTRA1,CSNK2A1,NFKB2,CA7,CYP1B1,TFE3,NFKB1,CYP1A2,ALOX15B","NOX4,TNKS2,CSNK2B,AR,MMP9,PARP1,HSD17B1,GPR35,ELAVL1,ESR1,ALOX15,KCND3,ALOX5,NEK6,VEGFA,MAOA,CA2,GSK3B,ST6GAL1,MMP2,AKR1B10,TTR,NUAK1,GLO1,ALPI,CYP2C8,DAPK1,ABCB1,CBR1,CD38,CA12,CSNK2A2,AKR1B1,TNKS,CA4,ABCG2,ABCC1,APP,CCR4,XDH,CA3,MMP12,ESR2,PGF,ALOX12,SYK,PKN1,MPO,CA7,CYP1B1,CYP1A2,FLT3","MMP13,AR,PARP1,CDK1,CYBB,GPR35,SMN2,DRD3,TNFA,GSTO1,ELANE,TNFRSF10B,RELA,WRN,PIP4K2A,PTGS2,AKR1B10,GLO1,IL2,CD38,AMY1C,POLH,CSNK1G2,CA4,APP,ICAM1,NUF2,CYP3A4,ALOX12,POLI,CASP9,TOP2A,FLT3,MMP3,NOX4,TNKS2,PIM2,CCNB2,CSNK2B,PAFAH1B3,PPARG,CLK3,CDK2,RB1,TYR,PRSS1,ESR1,CYP1A1,CCNB1,PTGES,GSK3B,ST6GAL1,MMP2,ADCY2,AKT1,TRA,DAPK1,CASP3,CBR1,CCNB3,PCNA,IL4,ERBB2,NCOA2,MMP1,AMY1B,HTRA1,ESR2,IL6,PKN1,MPO,CA7,TFE3,NFKB1,HSD17B1,ELAVL1,CD40LG,GAA,POLK,STK16,PSIP1,CDK5R1,MET,ALOX15,KCND3,RAPGEF3,MAOA,EGFR,BCL2L1,TOP1,TTR,GSK3A,CYP2C8,ABCB1,MAPK1,CSNK2A2,AKR1B1,TNKS,ABCC1,CFTR,ALDH1A1,XDH,NR3C1,BLM,CA3,MMP12,PGF,FEN1,SYK,IFNG,TP53,FXN,JUN,HMOX1,PBRM1,CCND1,CDK5,MMP9,PTGS1,PAFAH1B2,GSTP1,IFNB1,BIRC5,ALOX5,VEGFA,NEK6,NFKBIA,HPGD,CA2,BAZ2B,MDM2,CDKN1A,POLB,AMY1A,ALPI,NUAK1,CASP7,CBR3,MCL1,CA12,INSR,CLK1,DPP4,ABCG2,CCR4,MAPT,CSNK2A1,IL10,NFKB2,CYP1B1,CYP1A2,ALOX15B",CHEMBL151
5,TCMSP,danshen,D-Camphene,MOL000019,92221,Exist,,CC1(C2CCC(C2)C1=C)C,"NCOA2,GABRA1,SCN5A,PTGS2,KCNH2",,,"NCOA2,GABRA1,SCN5A,PTGS2,KCNH2",CHEMBL510535
7,TCMSP,danshen,PHA,MOL000041,135887873,,,CCC1=C(C2=NC1=CC3=C(C4=C(N3)C(=C5C(C(C(=CC6=NC(=C2)C(=C6C)C=C)N5)C)CCC(=O)O)C(=C4O)C(=O)OC)C)C,"ACHE,ADRA2B,CTRB1,MAOB,SCN5A,ADRA2A,MAOA,ADRA1B,PTGS1,CHRM1,LYZ,PTGS2,ADRB1,ADRB2,ADRA1A,ADRA2C,SLC6A3,SLC6A2",,,"ACHE,ADRA2B,MAOB,SCN5A,ADRA1B,PTGS1,ADRA1A,ADRA2C,CTRB1,ADRA2A,MAOA,CHRM1,LYZ,PTGS2,ADRB1,ADRB2,SLC6A3,SLC6A2",
8,TCMSP,danshen,LPG,MOL000042,5950,Exist,,CC(C(=O)O)N,"PRSS3,GPT,KYNU,PTGS1,ADH1C,ME1,CAT,LDHA,GABRA1,GPI,GLB1,SRC,ADH1A,MMP8,ARG1,BCHE,CDC25B,LDHB,GALE,TPI1,CTSD,CTH,RRM1,SLC36A1,MMP12,F13A1,AGXT,GIG18",,,"PRSS3,ARG1,BCHE,CDC25B,GPT,KYNU,LDHB,PTGS1,GALE,TPI1,CTSD,ADH1C,ME1,CAT,CTH,RRM1,LDHA,SLC36A1,MMP12,GABRA1,GPI,F13A1,AGXT,GLB1,SRC,GIG18,ADH1A,MMP8",CHEMBL279597
9,TCMSP,danshen,GLY,MOL000050,750,Exist,,C(C(=O)O)N,"PRSS3,F7,GLRA2,ATP2C1,GPT,GLRA3,KYNU,GLYAT,PTGS1,MTR,ADH1C,ME1,CAT,LDHA,SLC25A10,ASNS,AMY2A,GNMT,GARS,GABRA1,SLC25A13,GPI,MAOA,GLB1,SRC,PTGS2,ADH1A,ADSS1,MMP8,SLC6A9,ARG1,BCHE,OPLAH,CDC25B,MAOB,LDHB,GALE,TPI1,CTSD,GLYATL1,PFAS,CTH,RRM1,SLC36A1,ALDH1A1,PLA2G4F,MMP12,PIPOX,GPHN,GPT2,F13A1,AGXT,PLA2G2E,LTA4H,LTF,GIG18","GRIN2A,CYP2D6,CYP2C9,CYP3A4,GRIN2C,CYP1A2,GRIN1,GRIN2B,CYP2C19,SLC6A9",,"PRSS3,F7,GRIN2A,GLRA2,GPT,GLRA3,KYNU,GLYAT,MTR,ADH1C,ME1,LDHA,SLC25A10,ASNS,AMY2A,GNMT,GABRA1,MAOA,PTGS2,ADH1A,ADSS1,SLC6A9,OPLAH,CYP2D6,CDC25B,TPI1,GLYATL1,RRM1,ALDH1A1,PLA2G4F,MMP12,CYP3A4,GPT2,AGXT,LTA4H,GPHN,LTF,ATP2C1,PTGS1,CAT,GRIN1,GARS,SLC25A13,GPI,GLB1,SRC,MMP8,ARG1,BCHE,MAOB,LDHB,GALE,CTSD,PFAS,CTH,GRIN2B,CYP2C19,SLC36A1,CYP2C9,PIPOX,F13A1,PLA2G2E,GRIN2C,CYP1A2,GIG18",CHEMBL773
11,TCMSP,danshen,L-,MOL000054,6322,Exist,,C(CC(C(=O)O)N)CN=C(N)N,PTGS2,"NOS2,NOS3,NOS1,CYP1A2","DDAH1,NOS3,NOS1,NOS2,FURIN,CPN1","DDAH1,NOS3,NOS1,PTGS2,NOS2,CYP1A2,FURIN,CPN1",CHEMBL1485
13,TCMSP,danshen,DTY,MOL000056,71098,Exist,,C1=CC(=CC=C1CC(C(=O)O)N)O,"ACHE,ADRA2B,CTRB1,MAOB,ADRA2A,MAOA,ADRA1B,CHRM1,PTGS1,PTGS2,ADRB1,ADRA1A,ADRB2,ADRA2C,SLC6A3","CA2,CA1","YARS,TH,PPARG,CSK,GRB2","ACHE,ADRA2B,TH,MAOB,PPARG,ADRA1B,PTGS1,ADRA1A,CSK,GRB2,ADRA2C,CA1,YARS,CTRB1,ADRA2A,MAOA,CHRM1,CA2,PTGS2,ADRB1,ADRB2,SLC6A3",CHEMBL1076637
14,TCMSP,danshen,Prolinum,MOL000061,145742,Exist,,C1CC(NC1)C(=O)O,"PRSS3,BCHE,PPIA,GABRA1,PTGS2,CTSD,ADH1A,ADH1C,LYZ,DAO",,,"PRSS3,BCHE,PPIA,GABRA1,PTGS2,CTSD,ADH1A,ADH1C,LYZ,DAO",CHEMBL54922
15,TCMSP,danshen,ASI,MOL000065,NO,,,,"ARG1,BCHE,ALOX5,CDC25B,SLC25A13,GABRA1,AGXT,P3H3,SLC25A12,CKM,TPI1,CTSD,ADH1C,ADSS1,GIG18",,,"ARG1,BCHE,CDC25B,P3H3,SLC25A12,CKM,TPI1,CTSD,ADH1C,ALOX5,GABRA1,SLC25A13,AGXT,ADSS1,GIG18",
16,TCMSP,danshen,L-Valin,MOL000067,6287,Exist,,CC(C)C(C(=O)O)N,"BCHE,MAOB,GABRA1,PTGS1,PTGS2,CTSD,ADH1C,GIG18,CTH",,,"BCHE,GABRA1,MAOB,PTGS1,PTGS2,CTSD,ADH1C,GIG18,CTH",CHEMBL43068
