Category,ID,Description,BgRatio,pvalue,padjust,qvalue,geneID,gene_name,rankScore,Count
BP,GO:0072593,reactive oxygen species metabolic process,276/18493,3.64E-23,9.85E-20,3.43E-20,3630/207/6774/7157/1401/3553/5743/3586/3383/4846/4353/3458/847/4843/4314/2147/596/948,"INS,AKT1,STAT3,TP53,CRP,IL1B,PTGS2,IL10,ICAM1,NOS3,MPO,IFNG,CAT,NOS2,MMP3,F2,BCL2,CD36",2.798609503,18
BP,GO:2000377,regulation of reactive oxygen species metabolic process,185/18493,7.41E-19,1.00E-15,3.49E-16,3630/207/6774/7157/1401/3553/5743/3586/3383/3458/4314/2147/596/948,"INS,AKT1,STAT3,TP53,CRP,IL1B,PTGS2,IL10,ICAM1,IFNG,MMP3,F2,BCL2,CD36",1.731640632,14
BP,GO:0032496,response to lipopolysaccharide,324/18493,1.43E-18,1.29E-15,4.48E-16,3569/207/6347/3576/3553/5743/3586/5594/3383/7412/836/4846/4353/5054/4843/948,"IL6,AKT1,CCL2,CXCL8,IL1B,PTGS2,IL10,MAPK1,ICAM1,VCAM1,CASP3,NOS3,MPO,SERPINE1,NOS2,CD36",2.085701821,16
BP,GO:0002237,response to molecule of bacterial origin,337/18493,2.68E-18,1.81E-15,6.30E-16,3569/207/6347/3576/3553/5743/3586/5594/3383/7412/836/4846/4353/5054/4843/948,"IL6,AKT1,CCL2,CXCL8,IL1B,PTGS2,IL10,MAPK1,ICAM1,VCAM1,CASP3,NOS3,MPO,SERPINE1,NOS2,CD36",2.064956386,16
BP,GO:1903409,reactive oxygen species biosynthetic process,115/18493,6.30E-18,3.41E-15,1.19E-15,3630/207/6774/3553/5743/3586/3383/4846/4353/3458/4843/948,"INS,AKT1,STAT3,IL1B,PTGS2,IL10,ICAM1,NOS3,MPO,IFNG,NOS2,CD36",1.50858762,12
BP,GO:0006979,response to oxidative stress,441/18493,1.91E-16,8.59E-14,2.99E-14,3569/3630/207/7157/4318/5743/3586/5594/836/4846/4353/3162/847/4314/596/948,"IL6,INS,AKT1,TP53,MMP9,PTGS2,IL10,MAPK1,CASP3,NOS3,MPO,HMOX1,CAT,MMP3,BCL2,CD36",1.761569779,16
BP,GO:0034599,cellular response to oxidative stress,289/18493,4.02E-16,1.55E-13,5.41E-14,3569/3630/207/7157/4318/3586/5594/4846/4353/3162/847/4314/596/948,"IL6,INS,AKT1,TP53,MMP9,IL10,MAPK1,NOS3,MPO,HMOX1,CAT,MMP3,BCL2,CD36",1.495938428,14
BP,GO:0000302,response to reactive oxygen species,224/18493,5.24E-16,1.77E-13,6.16E-14,3569/207/4318/3586/5594/836/4846/4353/3162/847/4314/596/948,"IL6,AKT1,MMP9,IL10,MAPK1,CASP3,NOS3,MPO,HMOX1,CAT,MMP3,BCL2,CD36",1.32581211,13
BP,GO:0071216,cellular response to biotic stimulus,229/18493,6.99E-16,2.10E-13,7.31E-14,3569/207/6347/7157/3576/3553/3586/5594/3383/4846/5054/4843/948,"IL6,AKT1,CCL2,TP53,CXCL8,IL1B,IL10,MAPK1,ICAM1,NOS3,SERPINE1,NOS2,CD36",1.453351132,13
BP,GO:0071222,cellular response to lipopolysaccharide,199/18493,5.24E-15,1.36E-12,4.72E-13,3569/207/6347/3576/3553/3586/5594/3383/4846/5054/4843/948,"IL6,AKT1,CCL2,CXCL8,IL1B,IL10,MAPK1,ICAM1,NOS3,SERPINE1,NOS2,CD36",1.244321674,12
BP,GO:0070482,response to oxygen levels,349/18493,5.52E-15,1.36E-12,4.72E-13,207/7422/7157/5743/5468/3383/7412/836/3162/847/4313/4843/4314/596,"AKT1,VEGFA,TP53,PTGS2,PPARG,ICAM1,VCAM1,CASP3,HMOX1,CAT,MMP2,NOS2,MMP3,BCL2",1.373643837,14
BP,GO:0071219,cellular response to molecule of bacterial origin,206/18493,7.95E-15,1.79E-12,6.23E-13,3569/207/6347/3576/3553/3586/5594/3383/4846/5054/4843/948,"IL6,AKT1,CCL2,CXCL8,IL1B,IL10,MAPK1,ICAM1,NOS3,SERPINE1,NOS2,CD36",1.231717944,12
BP,GO:0006809,nitric oxide biosynthetic process,73/18493,2.69E-14,5.60E-12,1.95E-12,207/3553/5743/3586/3383/4846/3458/4843/948,"AKT1,IL1B,PTGS2,IL10,ICAM1,NOS3,IFNG,NOS2,CD36",0.828851796,9
BP,GO:0001666,response to hypoxia,314/18493,4.16E-14,8.02E-12,2.79E-12,207/7422/7157/5743/3383/7412/836/3162/847/4313/4843/4314/596,"AKT1,VEGFA,TP53,PTGS2,ICAM1,VCAM1,CASP3,HMOX1,CAT,MMP2,NOS2,MMP3,BCL2",1.182842293,13
BP,GO:0046209,nitric oxide metabolic process,77/18493,4.45E-14,8.02E-12,2.79E-12,207/3553/5743/3586/3383/4846/3458/4843/948,"AKT1,IL1B,PTGS2,IL10,ICAM1,NOS3,IFNG,NOS2,CD36",0.817370098,9
BP,GO:2001057,reactive nitrogen species metabolic process,80/18493,6.37E-14,1.03E-11,3.58E-12,207/3553/5743/3586/3383/4846/3458/4843/948,"AKT1,IL1B,PTGS2,IL10,ICAM1,NOS3,IFNG,NOS2,CD36",0.809382979,9
BP,GO:0036293,response to decreased oxygen levels,325/18493,6.47E-14,1.03E-11,3.58E-12,207/7422/7157/5743/3383/7412/836/3162/847/4313/4843/4314/596,"AKT1,VEGFA,TP53,PTGS2,ICAM1,VCAM1,CASP3,HMOX1,CAT,MMP2,NOS2,MMP3,BCL2",1.171283879,13
BP,GO:1903426,regulation of reactive oxygen species biosynthetic process,94/18493,2.86E-13,4.30E-11,1.50E-11,3630/207/6774/3553/5743/3586/3383/3458/948,"INS,AKT1,STAT3,IL1B,PTGS2,IL10,ICAM1,IFNG,CD36",0.834242112,9
BP,GO:0050900,leukocyte migration,478/18493,4.11E-13,5.69E-11,1.98E-11,3569/207/6347/7422/3576/3553/4318/3586/3383/7412/5054/3162/4312/7941,"IL6,AKT1,CCL2,VEGFA,CXCL8,IL1B,MMP9,IL10,ICAM1,VCAM1,SERPINE1,HMOX1,MMP1,PLA2G7",1.282018754,14
BP,GO:2000379,positive regulation of reactive oxygen species metabolic process,98/18493,4.21E-13,5.69E-11,1.98E-11,207/7157/1401/3553/5743/3383/3458/2147/948,"AKT1,TP53,CRP,IL1B,PTGS2,ICAM1,IFNG,F2,CD36",0.763966848,9
BP,GO:0031667,response to nutrient levels,481/18493,4.47E-13,5.76E-11,2.00E-11,207/7157/3553/5743/5468/5594/3383/7412/4353/3162/847/5444/3156/596,"AKT1,TP53,IL1B,PTGS2,PPARG,MAPK1,ICAM1,VCAM1,MPO,HMOX1,CAT,PON1,HMGCR,BCL2",1.146490935,14
BP,GO:0042136,neurotransmitter biosynthetic process,102/18493,6.09E-13,7.49E-11,2.60E-11,207/3553/5743/3586/3383/4846/3458/4843/948,"AKT1,IL1B,PTGS2,IL10,ICAM1,NOS3,IFNG,NOS2,CD36",0.745916859,9
BP,GO:0007568,aging,311/18493,1.08E-12,1.27E-10,4.42E-11,207/6774/7157/5743/3586/3383/7412/4353/5054/847/3156/596,"AKT1,STAT3,TP53,PTGS2,IL10,ICAM1,VCAM1,MPO,SERPINE1,CAT,HMGCR,BCL2",0.976031848,12
BP,GO:0051090,regulation of DNA-binding transcription factor activity,412/18493,1.33E-12,1.49E-10,5.20E-11,3569/3630/207/7422/3553/5468/3586/5594/3383/3162/847/959/948,"IL6,INS,AKT1,VEGFA,IL1B,PPARG,IL10,MAPK1,ICAM1,HMOX1,CAT,CD40LG,CD36",1.1245423,13
BP,GO:0033002,muscle cell proliferation,236/18493,1.42E-12,1.53E-10,5.33E-11,3569/207/6774/4318/5743/5468/3586/3458/3162/4313/3156,"IL6,AKT1,STAT3,MMP9,PTGS2,PPARG,IL10,IFNG,HMOX1,MMP2,HMGCR",0.963964633,11
BP,GO:0048660,regulation of smooth muscle cell proliferation,168/18493,1.48E-12,1.54E-10,5.36E-11,3569/207/4318/5743/5468/3586/3458/3162/4313/3156,"IL6,AKT1,MMP9,PTGS2,PPARG,IL10,IFNG,HMOX1,MMP2,HMGCR",0.861609017,10
BP,GO:0048659,smooth muscle cell proliferation,170/18493,1.67E-12,1.63E-10,5.67E-11,3569/207/4318/5743/5468/3586/3458/3162/4313/3156,"IL6,AKT1,MMP9,PTGS2,PPARG,IL10,IFNG,HMOX1,MMP2,HMGCR",0.859488085,10
BP,GO:0046677,response to antibiotic,323/18493,1.69E-12,1.63E-10,5.67E-11,3569/6774/7157/3586/3383/7412/836/3162/847/3156/596/1080,"IL6,STAT3,TP53,IL10,ICAM1,VCAM1,CASP3,HMOX1,CAT,HMGCR,BCL2,CFTR",0.915284097,12
BP,GO:0050727,regulation of inflammatory response,425/18493,1.96E-12,1.83E-10,6.37E-11,3569/3630/3553/4318/5743/5468/3586/5054/4843/4314/2147/4023/7941,"IL6,INS,IL1B,MMP9,PTGS2,PPARG,IL10,SERPINE1,NOS2,MMP3,F2,LPL,PLA2G7",1.043916391,13
BP,GO:0051091,positive regulation of DNA-binding transcription factor activity,255/18493,3.29E-12,2.97E-10,1.03E-10,3569/3630/207/7422/3553/5468/3586/3383/847/959/948,"IL6,INS,AKT1,VEGFA,IL1B,PPARG,IL10,ICAM1,CAT,CD40LG,CD36",0.9267482,11
BP,GO:0042110,T cell activation,451/18493,4.15E-12,3.62E-10,1.26E-10,3569/3630/207/6774/6347/3553/3586/3383/7412/836/3458/959/596,"IL6,INS,AKT1,STAT3,CCL2,IL1B,IL10,ICAM1,VCAM1,CASP3,IFNG,CD40LG,BCL2",1.104496462,13
BP,GO:0006953,acute-phase response,47/18493,6.21E-12,5.25E-10,1.83E-10,3569/3630/6774/1401/3553/5743/2147,"IL6,INS,STAT3,CRP,IL1B,PTGS2,F2",0.636028589,7
BP,GO:0062013,positive regulation of small molecule metabolic process,142/18493,1.25E-11,1.03E-09,3.57E-10,3630/207/6774/3553/5743/5468/4846/3458/4843,"INS,AKT1,STAT3,IL1B,PTGS2,PPARG,NOS3,IFNG,NOS2",0.761187208,9
BP,GO:0002526,acute inflammatory response,211/18493,1.44E-11,1.14E-09,3.98E-10,3569/3630/6774/1401/3553/5743/5468/3383/7412/2147,"IL6,INS,STAT3,CRP,IL1B,PTGS2,PPARG,ICAM1,VCAM1,F2",0.852727513,10
BP,GO:0010876,lipid localization,393/18493,1.67E-11,1.29E-09,4.50E-10,3569/207/1401/3553/5468/4843/4023/5444/5243/1071/1080/948,"IL6,AKT1,CRP,IL1B,PPARG,NOS2,LPL,PON1,ABCB1,CETP,CFTR,CD36",0.722040289,12
BP,GO:0042133,neurotransmitter metabolic process,148/18493,1.82E-11,1.37E-09,4.76E-10,207/3553/5743/3586/3383/4846/3458/4843/948,"AKT1,IL1B,PTGS2,IL10,ICAM1,NOS3,IFNG,NOS2,CD36",0.652969198,9
BP,GO:0043062,extracellular structure organization,402/18493,2.18E-11,1.59E-09,5.54E-10,4318/3383/7412/4353/5054/4313/4312/4314/4023/7941/1071/948,"MMP9,ICAM1,VCAM1,MPO,SERPINE1,MMP2,MMP1,MMP3,LPL,PLA2G7,CETP,CD36",0.710606377,12
BP,GO:1905952,regulation of lipid localization,152/18493,2.32E-11,1.65E-09,5.73E-10,3569/207/1401/3553/5468/4023/5444/1071/948,"IL6,AKT1,CRP,IL1B,PPARG,LPL,PON1,CETP,CD36",0.596630702,9
BP,GO:2001234,negative regulation of apoptotic signaling pathway,222/18493,2.38E-11,1.65E-09,5.74E-10,3630/207/3553/4318/5743/3383/4846/5054/3162/596,"INS,AKT1,IL1B,MMP9,PTGS2,ICAM1,NOS3,SERPINE1,HMOX1,BCL2",0.771267976,10
BP,GO:0048661,positive regulation of smooth muscle cell proliferation,98/18493,2.50E-11,1.69E-09,5.88E-10,3569/207/4318/5743/3586/3162/4313/3156,"IL6,AKT1,MMP9,PTGS2,IL10,HMOX1,MMP2,HMGCR",0.61785166,8
BP,GO:0034614,cellular response to reactive oxygen species,162/18493,4.11E-11,2.71E-09,9.44E-10,3569/207/4318/3586/5594/4846/4353/4314/948,"IL6,AKT1,MMP9,IL10,MAPK1,NOS3,MPO,MMP3,CD36",0.651908138,9
BP,GO:0045428,regulation of nitric oxide biosynthetic process,62/18493,4.75E-11,3.06E-09,1.06E-09,207/3553/5743/3586/3383/3458/948,"AKT1,IL1B,PTGS2,IL10,ICAM1,IFNG,CD36",0.496267728,7
BP,GO:0002685,regulation of leukocyte migration,180/18493,1.06E-10,6.65E-09,2.31E-09,3569/207/6347/7422/3576/3383/5054/3162/7941,"IL6,AKT1,CCL2,VEGFA,CXCL8,ICAM1,SERPINE1,HMOX1,PLA2G7",0.663363972,9
BP,GO:0035690,cellular response to drug,355/18493,1.16E-10,7.12E-09,2.48E-09,3569/7157/3553/5743/3586/5594/3383/3162/4843/4314/1080,"IL6,TP53,IL1B,PTGS2,IL10,MAPK1,ICAM1,HMOX1,NOS2,MMP3,CFTR",0.749859314,11
BP,GO:0035296,regulation of tube diameter,129/18493,2.31E-10,1.36E-08,4.73E-09,3630/207/1401/5743/3383/4846/3162/3156,"INS,AKT1,CRP,PTGS2,ICAM1,NOS3,HMOX1,HMGCR",0.560409595,8
BP,GO:0097746,regulation of blood vessel diameter,129/18493,2.31E-10,1.36E-08,4.73E-09,3630/207/1401/5743/3383/4846/3162/3156,"INS,AKT1,CRP,PTGS2,ICAM1,NOS3,HMOX1,HMGCR",0.560409595,8
BP,GO:0051051,negative regulation of transport,495/18493,2.40E-10,1.38E-08,4.81E-09,3630/207/3553/4318/5743/3586/3383/4846/3162/3156/596/948,"INS,AKT1,IL1B,MMP9,PTGS2,IL10,ICAM1,NOS3,HMOX1,HMGCR,BCL2,CD36",0.746395261,12
BP,GO:0045765,regulation of angiogenesis,381/18493,2.46E-10,1.38E-08,4.82E-09,3569/6774/7422/3576/3553/5743/5468/3586/4846/5054/3162,"IL6,STAT3,VEGFA,CXCL8,IL1B,PTGS2,PPARG,IL10,NOS3,SERPINE1,HMOX1",0.817035437,11
