#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
ACE,MPO,9606.ENSP00000290866,9606.ENSP00000225275,0,0,0,0,0.062,0,0,0.542,0.552
ACE,APP,9606.ENSP00000290866,9606.ENSP00000284981,0,0,0,0,0.062,0,0,0.545,0.555
ACE,PPARG,9606.ENSP00000290866,9606.ENSP00000287820,0,0,0,0,0.061,0,0,0.554,0.563
ACE,NOS2,9606.ENSP00000290866,9606.ENSP00000327251,0,0,0,0,0.062,0,0,0.394,0.407
ACE,CASP3,9606.ENSP00000290866,9606.ENSP00000311032,0,0,0,0,0,0,0,0.423,0.423
ACE,PTGS2,9606.ENSP00000290866,9606.ENSP00000356438,0,0,0,0,0.064,0,0,0.549,0.56
ACE,ACHE,9606.ENSP00000290866,9606.ENSP00000303211,0,0,0,0,0.059,0,0,0.637,0.644
ACE,NOS3,9606.ENSP00000290866,9606.ENSP00000297494,0,0,0,0,0.062,0,0,0.876,0.878
ACHE,MPO,9606.ENSP00000303211,9606.ENSP00000225275,0,0,0,0,0,0.064,0,0.41,0.424
ACHE,APP,9606.ENSP00000303211,9606.ENSP00000284981,0,0,0,0,0.091,0.379,0,0.73,0.834
ACHE,PTGS2,9606.ENSP00000303211,9606.ENSP00000356438,0,0,0,0,0,0.064,0,0.437,0.451
ACHE,CASP3,9606.ENSP00000303211,9606.ENSP00000311032,0,0,0,0,0,0,0,0.533,0.533
ACHE,MAPT,9606.ENSP00000303211,9606.ENSP00000340820,0,0,0,0,0.095,0,0,0.555,0.58
ACHE,BACE1,9606.ENSP00000303211,9606.ENSP00000318585,0,0,0,0,0.063,0,0,0.646,0.654
ADAM10,MAPT,9606.ENSP00000260408,9606.ENSP00000340820,0,0,0,0,0,0,0,0.452,0.452
ADAM10,BACE1,9606.ENSP00000260408,9606.ENSP00000318585,0,0,0,0,0.081,0,0,0.857,0.863
ADAM10,PLAU,9606.ENSP00000260408,9606.ENSP00000361850,0,0,0,0,0.046,0,0.9,0.232,0.92
ADAM10,APP,9606.ENSP00000260408,9606.ENSP00000284981,0,0,0,0,0.062,0.19,0.9,0.868,0.988
APP,PPARG,9606.ENSP00000284981,9606.ENSP00000287820,0,0,0,0,0,0,0,0.417,0.416
APP,PTGS2,9606.ENSP00000284981,9606.ENSP00000356438,0,0,0,0,0.061,0.379,0,0.454,0.654
APP,GSK3B,9606.ENSP00000284981,9606.ENSP00000324806,0,0,0,0,0.057,0.397,0,0.748,0.845
APP,CASP3,9606.ENSP00000284981,9606.ENSP00000311032,0,0,0,0,0.062,0.682,0,0.665,0.891
APP,MAPT,9606.ENSP00000284981,9606.ENSP00000340820,0,0,0,0,0.064,0.379,0,0.919,0.949
APP,BACE1,9606.ENSP00000284981,9606.ENSP00000318585,0,0,0,0,0.089,0.406,0.9,0.958,0.997
BACE1,NOS3,9606.ENSP00000318585,9606.ENSP00000297494,0,0,0,0,0,0,0,0.541,0.541
BACE1,CASP3,9606.ENSP00000318585,9606.ENSP00000311032,0,0,0,0,0,0,0,0.53,0.53
BACE1,GSK3B,9606.ENSP00000318585,9606.ENSP00000324806,0,0,0,0,0.059,0.085,0,0.44,0.476
BACE1,MAPT,9606.ENSP00000318585,9606.ENSP00000340820,0,0,0,0,0.07,0,0,0.684,0.693
BAX,GSK3B,9606.ENSP00000293288,9606.ENSP00000324806,0,0,0,0,0.059,0.384,0,0.215,0.505
BAX,CASP3,9606.ENSP00000293288,9606.ENSP00000311032,0,0,0,0,0,0.416,0,0.793,0.874
BAX,BCL2,9606.ENSP00000293288,9606.ENSP00000381185,0,0,0,0.645,0,0.58,0.9,0.734,0.967
BCL2,CASP3,9606.ENSP00000381185,9606.ENSP00000311032,0,0,0,0,0,0.461,0,0.578,0.763
CASP3,MPO,9606.ENSP00000311032,9606.ENSP00000225275,0,0,0,0,0,0,0,0.699,0.699
CASP3,PPARG,9606.ENSP00000311032,9606.ENSP00000287820,0,0,0,0,0,0.058,0,0.571,0.578
CASP3,NOS3,9606.ENSP00000311032,9606.ENSP00000297494,0,0,0,0,0,0,0,0.793,0.793
CASP3,NOS2,9606.ENSP00000311032,9606.ENSP00000327251,0,0,0,0,0,0,0,0.533,0.533
CASP3,GSK3B,9606.ENSP00000311032,9606.ENSP00000324806,0,0,0,0,0.059,0.097,0,0.605,0.636
CASP3,PTGS2,9606.ENSP00000311032,9606.ENSP00000356438,0,0,0,0,0,0,0,0.685,0.685
CASP3,MAPT,9606.ENSP00000311032,9606.ENSP00000340820,0,0,0,0,0,0.379,0.9,0.539,0.968
GSK3B,PPARG,9606.ENSP00000324806,9606.ENSP00000287820,0,0,0,0,0,0.085,0,0.558,0.578
GSK3B,PTGS2,9606.ENSP00000324806,9606.ENSP00000356438,0,0,0,0,0,0.058,0,0.63,0.637
GSK3B,MAPT,9606.ENSP00000324806,9606.ENSP00000340820,0,0,0,0,0.061,0.379,0.9,0.804,0.987
MPO,PPARG,9606.ENSP00000225275,9606.ENSP00000287820,0,0,0,0,0.061,0.05,0,0.452,0.468
